artistName,musicName,Radiojavan_play,Radiojavan_likes,pubdate,lyric,musicID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sasy,Gentleman,97011366,92837,Mar 6 2019,"هی وقتشه بدی لبِ رو بیبی
بدو بدو بگیر کمرو هی قر
بیا بیا قرش بده سکسی
واسه همه زنگ زدنات مرسی
واسه همه پیگیریات مرسی
واسه همه ی کادوهات مرسی

وای بدن و ببین جوون بابا
خودتو بلرزون بابا
همه میگن ساسی پاشو همه رو برقصون دادا
آقامون جنتلمنه جنتلمنه
این خانومم عشق منه عشق منه
آقامون جنتلمنه جنتلمنه
این خانومم عشق منه عشق منه

فاز مثبتا رو نگیر که پیک چندبار ی دستت دیدم
اینجا تهرانه اگه شاخ بشی کار دستت میدم
سلطان سلطان
جون بله قربان
من خیلی عاشقتم و تویی همه دنیام
سلطانه سلطانه
همش دورهمی کردانه
عکساش همه هشتگ لاکچری تهرانه

وای بدن و ببین جوون بابا
خودتو بلزون بابا
همه میگن ساسی پاشو همه رو برقصون دادا
آقامون جنتلمنه جنتلمنه
این خانومم عشق منه عشق منه
آقامون جنتلمنه جنتلمنه
این خانومم عشق منه عشق منه

شنوندگان عزیز صدای منو میشنوید از کالیفورنیا امریکا
سلامتی فابریکا
سلامتی این رلا
مخلص همه سینگلا
هفتادیا شصتیا
سلامتی مشتیا
سلامتی فیمسا
عاشقتونم افتضاح
سلامتی اونا که بالان
سلامتی چشم قرمزا",3iBOmmYAiADhQTAqoUJjQ8,50,0.847,0.899,0,-2.807,1,0.175,0.249,4.5799999999999995e-05,0.33399999999999996,0.963,128.017,audio_features,3iBOmmYAiADhQTAqoUJjQ8,spotify:track:3iBOmmYAiADhQTAqoUJjQ8,https://api.spotify.com/v1/tracks/3iBOmmYAiADhQTAqoUJjQ8,https://api.spotify.com/v1/audio-analysis/3iBOmmYAiADhQTAqoUJjQ8,186044,4
Mohsen Yeganeh,Behet Ghol Midam,82238605,92258,Feb 29 2016,"خودت میخوای بری خاطره شی اما دلت میسوزه
تظاهر میکنی عاشقمی این بازی هر روزه
نترس آدم دم رفتن همش دلشوره میگیره
دو روز بگذره این دلشوره ها از خاطرت میره

بهت قول میدم سخت نیست لااقل برای تو
راحت باش دورم از تو و دنیای تو
راحت باش هیچکس نمیاد جای تو
دلشوره دارم من واسه فردای تو

از عشق هر چیزی که میشناسمو از من گرفتی تو
تو باقی مونده ی احساسمو از من گرفتی و
میخوای من باشی و یادت بره مایی وجود داره
خودت آماده ی رفتنی و ترست نمیذاره

اصلا نترس راحت برو بی من
هیچکی به جز تو منو یادش نیست
فکر کردی کی از من خبر داره
راحت برو هیچکی حواسش نیست

بهت قول میدم سخت نیست لااقل برای تو
راحت باش دورم از تو و دنیای تو
راحت باش هیچکس نمیاد جای تو
دلشوره دارم من واسه فردای تو
مسیرمون با هم یکی بود ولی مقصد جدا
دلگیر ، پر درد پر بغضم خدا",0xEnjDkEl1lJzTilGsNtHa,50,0.794,0.539,1,-8.058,0,0.0458,0.505,4.01e-06,0.0685,0.7090000000000001,95.031,audio_features,0xEnjDkEl1lJzTilGsNtHa,spotify:track:0xEnjDkEl1lJzTilGsNtHa,https://api.spotify.com/v1/tracks/0xEnjDkEl1lJzTilGsNtHa,https://api.spotify.com/v1/audio-analysis/0xEnjDkEl1lJzTilGsNtHa,217263,4
Behnam Bani,Ashegham Karde,68372476,66724,Mar 11 2017,"باور کن
همه جا شده با تو بهشت
یه چیزا رو نمیشه نوشت
تا یه روزی برسی بهش
یه چیزایی مث همین عشق
یه چیزایی مث همین عشق

این روزا
همه هوش و حواس منی
تو که میدونی واسه منی
تویی تو همه خاطره هام
تو رو دیگه نمیشه نخوام
تو یه جور دیگه ای برام

کاشکی برگرده
اونی که عاشقم کرده
اونی که این دل و
میبره با حتی یه کلمه

جای تو اینجاس
توی یه گوشه از قلبم
من و تو عاشقیم، چرا نگم
این و جلو همه

این حس و به تو داره فقط
دل من پیش تو بی اراده س

گم کردم خودم و تو چشات
اخه من عاشقم خیلی سادس

میمیرم همه جوره برات
تورو من نمیدم ساده از دست
میخوامت هیجان دلم
واسه دوست داشتنت فوق العاده اس

کاشکی برگرده
اونی که عاشقم کرده
اونی که این دل و
میبره با حتی یه کلمه

جای تو اینجاس
توی یه گوشه از قلبم
من و تو عاشقیم، چرا نگم
این و جلو همه",0kjfn4MCNIOQANlGsczAl0,42,0.7490000000000001,0.914,0,-3.0839999999999996,0,0.124,0.654,0.0,0.315,0.905,104.993,audio_features,0kjfn4MCNIOQANlGsczAl0,spotify:track:0kjfn4MCNIOQANlGsczAl0,https://api.spotify.com/v1/tracks/0kjfn4MCNIOQANlGsczAl0,https://api.spotify.com/v1/audio-analysis/0kjfn4MCNIOQANlGsczAl0,208515,4
Masih,To Ke Nisti Pisham,68357479,93209,Mar 13 2017,"تو که نیستی پیشم هرچی میگم
به هر کی میگم که با من بمونه
میذاره میره از دل من

دیوونه میشم
توی خیابون تنها میمونه
دستای سرد و عاشق من

وقتی تو رو می بینم و
پر میکشم تو دستای گرمت
مثل قدیما بچه میشم

میخوام با تو باشم
تو دنیا جایی ندارم
به جز دل تو اینو میگم

تو میتونی بمونی
میتونی بسازی
منو اونجوری که همه حسودم بشن
آدمای این شهر

قول بده بمونی
قلبمو بسازش
فقط تو میتونی منو آروم کنی
نرو بسه دیگه این قهر

تو میتونی بمونی
میتونی بسازی
منو اونجوری که همه حسودم بشن
آدمای این شهر

قول بده بمونی
قلبمو بسازش
فقط تو میتونی منو آروم کنی
نرو بسه دیگه این قهر

(مسیح)
پیش من تو بمون
پا به پام تو بیا
بذار هرچی میگن بگن
نمیدونن اونا که من عاشق شدم

میخوام با تو باشم
تو دنیا جایی ندارم به جز دل تو اینو میگم

تو میتونی بمونی
میتونی بسازی
منو اونجوری که همه حسودم بشن
آدمای این شهر

قول بده بمونی
قلبمو بسازش
فقط تو میتونی منو آروم کنی
نرو بسه دیگه این قهر

تو میتونی بمونی
میتونی بسازی
منو اونجوری که همه حسودم بشن
آدمای این شهر

قول بده بمونی
قلبمو بسازش
فقط تو میتونی منو آروم کنی
نرو بسه دیگه این قهر",0e53ftOU2YDLOVMGPUBJDj,42,0.723,0.8370000000000001,7,-5.779,0,0.168,0.35600000000000004,0.0,0.353,0.563,142.47799999999998,audio_features,0e53ftOU2YDLOVMGPUBJDj,spotify:track:0e53ftOU2YDLOVMGPUBJDj,https://api.spotify.com/v1/tracks/0e53ftOU2YDLOVMGPUBJDj,https://api.spotify.com/v1/audio-analysis/0e53ftOU2YDLOVMGPUBJDj,185136,3
Masih,100 Rishteri,68074878,50030,Mar 16 2019,"مگه چه گناهی کرده که دلم افتاده دستت
بیخیال شو این همه ناز دیگه بسه
راه بیا کشتی مارو با اون چشمای عسلیت
خیالت تخت تو دلم هیچکی جز تو اصلانیست

با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری
با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری

جیگر میخواد تو نگاهت زل زدن
هول میشم وقتی نگات می افته به من

با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری
با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری
با اون با اون با اون با اون

با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری
با اون نگاه صد ریشتری دلو در جا میبری
زیرو رو‌میکنی دل ادمو ولی نمی مونه اثری
با اون نگاه صد ریشتری دلو در جا میبری",220IguO88LtSJNdY5bPrZB,44,0.7659999999999999,0.79,10,-6.484,0,0.20199999999999999,0.0416,0.0,0.768,0.904,109.904,audio_features,220IguO88LtSJNdY5bPrZB,spotify:track:220IguO88LtSJNdY5bPrZB,https://api.spotify.com/v1/tracks/220IguO88LtSJNdY5bPrZB,https://api.spotify.com/v1/audio-analysis/220IguO88LtSJNdY5bPrZB,144327,4
Shadmehr Aghili,Door Shodi,67084762,74643,Jun 12 2019,"تو یه ذره هم شبیه کسی که پاره تنم بود نیستی
تو عوض شدی که حالا سر هیچ و پوچ تو روم وا میستی
ته چشمات امروز دنبال یه خورده احساس بودم
کمترین حق منه من که باهات این همه رو راست بودم

انقدر دور شدی و مغرور شدی
که دیگه کور شدی عشقمو نمیبینی
تو که میری با خیال راحت
ولی سرنوشتمو نمیبینی
سنگ شدی اهل جنگ
با همه یه رنگ شدی که باور کردم
که از وقتی عاشقت شدم فقط حالمو بدتر کردم

آخه با هرکی به غیر از من حالت خوبه یعنی چی
فردای خودت چی میشه حالا امروز من هیچی
بهتر میشه حتماً بعد از تو دنیای من
اما تو مجبور میشی آخر یه روز
پس بگیری حرفاتو

انقدر دور شدی و مغرور شدی
که دیگه کور شدی عشقمو نمیبینی
تو که میری با خیال راحت
ولی سرنوشتمو نمیبینی
سنگ شدی اهل جنگ
با همه یه رنگ شدی که باور کردم
که از وقتی عاشقت شدم فقط حالمو بدتر کردم",2mIon2WQCq8TOHMS8As90D,45,0.685,0.8759999999999999,11,-4.579,0,0.0869,0.608,0.0,0.162,0.713,89.969,audio_features,2mIon2WQCq8TOHMS8As90D,spotify:track:2mIon2WQCq8TOHMS8As90D,https://api.spotify.com/v1/tracks/2mIon2WQCq8TOHMS8As90D,https://api.spotify.com/v1/audio-analysis/2mIon2WQCq8TOHMS8As90D,192052,4
Hamed Homayoun,Chatre Khis,64675480,76749,Jun 15 2016,"دستم تو دست یاره، قلبم چه بی قراره
به به،به به چی میشه امشب، بارون اگر بباره

چه شاعرانه، یه چتر خیسو
دریا کنار و پرسه های عاشقانه
زل میزنم به چشمهای مستت
سر روی شونت میگذارم بی بهانه

میخوامت خانومم، با عشقت آرومم
میخوامت خانومم، با عشقت آرومه آرومه آرومم",3qifJfGrwfPfSQKzenow8X,39,0.787,0.838,4,-6.19,0,0.0588,0.0475,7.59e-05,0.129,0.669,121.959,audio_features,3qifJfGrwfPfSQKzenow8X,spotify:track:3qifJfGrwfPfSQKzenow8X,https://api.spotify.com/v1/tracks/3qifJfGrwfPfSQKzenow8X,https://api.spotify.com/v1/audio-analysis/3qifJfGrwfPfSQKzenow8X,231471,4
Masih,Darya,64366558,73310,Feb 6 2019,"تا گل آلودم ماهیتو بگیر
بیا این آلوده ماهی رو ببین
که چه جوری جا گذاشتیش رو زمین
من واسه تو قید دریارو زدم
به درو دیوار تنگت میزنم
تو بیابونِ دلت نفس زدم

دریا بغلم کنم بغلم کن که شدم تنها
بغلم کن بغلم کن بین نامردا
منو تک ننداز
دریا،اشتباه کردم که از دست تو سُر خوردم
توی این مرداب با این آدما بًر خوردم
بد کم آوردم

بیا این پخشو پلارو تو جمعش کن
دوریت داره بد میسوزونه تو کمش کن
من گم شدم تو دل بی‌ رحم زمونه
بیا و این دیونه رو تو باورش کن

دریا بغلم کنم بغلم کن که شدم تنها
بغلم کن بغلم کن بین نامردا
منو تک ننداز
دریا،اشتباه کردم که از دست تو سُر خوردم
توی این مرداب با این آدما بًر خوردم
بد کم آوردم",1ulL68Gm8sK10zeXj7gE31,44,0.589,0.603,4,-5.27,0,0.16699999999999998,0.42200000000000004,0.0,0.395,0.34600000000000003,155.609,audio_features,1ulL68Gm8sK10zeXj7gE31,spotify:track:1ulL68Gm8sK10zeXj7gE31,https://api.spotify.com/v1/tracks/1ulL68Gm8sK10zeXj7gE31,https://api.spotify.com/v1/audio-analysis/1ulL68Gm8sK10zeXj7gE31,187152,4
Masih & Arash Ap,Bia Bazam,59912047,65190,Oct 10 2015,"بیا بازم بزار رنگی بشه دنیام کنارت
هنوزم من دلم گیره، چشام خیره به راهت

بیا تا دل نمرده باز
بازم یادم بده پرواز

بیا تا دلخوشیم بازم کنار تو بشه آغاز
بشه آغاز...

بیا بی تو، من از این زندگی سیرم
نمیدونی دارم این گوشه میمیرم

بیا یادم بده پروازُ با دستات
دلم با رفتنت دنیاشو از دست داد

بیا بی تو، من از این زندگی سیرم
نمیدونی دارم این گوشه میمیرم

بیا یادم بده پروازُ با دستات
دلم با رفتنت دنیاشو از دست داد

بیا بازم بزار با هم بمونیم ما همیشه
دلم پیشِ تو بد گیره دیگه بی تو نمیشه

بیا تا دل نمرده باز
بازم یادم بده پرواز

بیا تا دلخوشیم بازم کنار تو بشه آغاز
بشه آغاز...

بیا بی تو، من از این زندگی سیرم
نمیدونی دارم این گوشه میمیرم

بیا یادم بده پروازُ با دستات
دلم با رفتنت دنیاشو از دست داد

بیا بی تو، من از این زندگی سیرم
نمیدونی دارم این گوشه میمیرم

بیا یادم بده پروازُ با دستات
دلم با رفتنت دنیاشو از دست داد",1g2zUk0Rf81amudznA9BbB,35,0.742,0.7140000000000001,6,-4.365,0,0.31,0.532,0.0,0.17,0.7609999999999999,85.045,audio_features,1g2zUk0Rf81amudznA9BbB,spotify:track:1g2zUk0Rf81amudznA9BbB,https://api.spotify.com/v1/tracks/1g2zUk0Rf81amudznA9BbB,https://api.spotify.com/v1/audio-analysis/1g2zUk0Rf81amudznA9BbB,203180,4
Ashvan,Sheyda,59474379,66437,Feb 14 2019,"خودت بگو کیه که تو هر شرایطی فرق نکنه با حرفاش
عزیزم راحت باش
اگه بود عوض بشه با من جاش
خودت بگو مگه ممکن به غیر من یه آدمی باشه
درست عین خودت باشه
درست عین خودت عاشق
آره

آره تورو پیدا می‌کنم
این شهرو شیدا می‌کنم
آره غوغا می‌کنم تو فقط باش
این حس عشقِ نه هوس
تا وقتی‌ که باشه نفس
دیگه از هیچ چیزی نترس
تو فقط باش
آره تورو پیدا می‌کنم
این شهرو شیدا می‌کنم
آره غوغا می‌کنم تو فقط باش
این حس عشقِ نه هوس
تا وقتی‌ که باشه نفس
دیگه از هیچ چیزی نترس
تو فقط باش

دل تو دلم نیست
دل تو دلم نیست که بگم مال منه
آخه اون ماه منه
میترسم از روزی
اره میترسم از روزی که اون دل بکنه
این سر تا اون سرو میبندم اگه بخواد بره
اگه بگه مسافره و می‌خواد بشه یه خاطره
من میرم سمتش بیاد کسی‌ بخواد دورش کنه
توام بگو دوستم داری وای عزیزم موقعش شده

آره تورو پیدا می‌کنم
این شهرو شیدا می‌کنم
آره غوغا می‌کنم تو فقط باش
این حس عشقِ نه هوس
تا وقتی‌ که باشه نفس
دیگه از هیچ چیزی نترس
تو فقط باش
آره تورو پیدا می‌کنم
این شهرو شیدا می‌کنم
آره غوغا می‌کنم تو فقط باش
این حس عشقِ نه هوس
تا وقتی‌ که باشه نفس
دیگه از هیچ چیزی نترس
تو فقط باش",2glQwoWQj3ZSQtw8Wyakjy,43,0.515,0.726,9,-7.189,0,0.158,0.00158,0.0,0.228,0.568,115.06700000000001,audio_features,2glQwoWQj3ZSQtw8Wyakjy,spotify:track:2glQwoWQj3ZSQtw8Wyakjy,https://api.spotify.com/v1/tracks/2glQwoWQj3ZSQtw8Wyakjy,https://api.spotify.com/v1/audio-analysis/2glQwoWQj3ZSQtw8Wyakjy,202397,4
